                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4107,                 1.4308,                 1.5283,                0.70224,                0.55986,                0.61401,                 0.3183,                 1.7026,                 1.5462,                 1.8858,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.4094,                 1.4055,                  1.505,                0.70375,                0.57434,                0.62787,                0.31509,                 1.6581,                  1.546,                   1.86,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.3841,                 1.3944,                 1.5123,                 0.7272,                0.55101,                0.62834,                0.31318,                 1.6651,                 1.5487,                 1.8391,               0.009307,               0.009307,               0.009307
                     38,                 1.3846,                 1.3936,                 1.5012,                 0.6745,                0.58707,                 0.6306,                0.32491,                 1.6588,                 1.4904,                  1.822,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.3804,                 1.3745,                    1.5,                0.69297,                0.58315,                0.62724,                0.31825,                 1.6891,                 1.4297,                  1.846,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.3809,                 1.3728,                 1.4992,                0.72089,                0.59286,                0.64293,                0.32714,                 1.6413,                 1.4519,                  1.817,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.3606,                 1.3497,                 1.4889,                0.66154,                0.56866,                0.60525,                0.31132,                  1.665,                 1.4869,                 1.8387,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.3789,                 1.3583,                 1.4931,                0.70431,                0.59956,                0.62509,                0.32109,                 1.6937,                 1.4559,                 1.8478,               0.009208,               0.009208,               0.009208
                     43,                 1.3505,                 1.3261,                 1.4706,                0.68041,                0.58154,                0.62519,                0.32058,                 1.6466,                 1.4475,                 1.8298,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.3559,                 1.3263,                  1.478,                0.67768,                0.60119,                0.63036,                0.33238,                 1.6679,                 1.4391,                 1.8282,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.3821,                 1.3446,                 1.4846,                0.74446,                0.57861,                0.65052,                0.34163,                 1.6218,                 1.3962,                 1.8218,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.3529,                 1.3293,                 1.4769,                0.68817,                0.56292,                0.61767,                0.31962,                 1.6723,                 1.4869,                 1.8454,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.3485,                 1.3177,                 1.4664,                0.71087,                0.58122,                0.63133,                0.32319,                 1.6704,                 1.4783,                 1.8197,               0.009109,               0.009109,               0.009109
                     48,                 1.3498,                 1.2982,                 1.4804,                0.73179,                0.58447,                0.65307,                0.34402,                 1.6667,                  1.383,                 1.8292,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.3333,                 1.3016,                 1.4645,                0.72066,                0.54611,                0.62838,                0.33023,                 1.6739,                 1.4514,                 1.8666,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.3376,                 1.3113,                 1.4658,                0.71779,                0.62017,                0.65441,                0.33565,                  1.659,                 1.4095,                 1.8406,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.3397,                 1.2924,                 1.4727,                 0.6721,                0.54572,                0.58182,                 0.2998,                 1.6905,                 1.5285,                 1.8968,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.3262,                  1.271,                  1.449,                 0.7134,                0.62128,                0.66782,                0.34992,                 1.6162,                 1.3783,                 1.7857,                0.00901,                0.00901,                0.00901
                     53,                 1.3194,                  1.267,                 1.4458,                0.65507,                0.58784,                 0.6216,                0.33019,                 1.6339,                 1.4685,                 1.8267,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.3226,                 1.2657,                 1.4407,                0.77317,                0.57776,                0.66876,                0.36024,                 1.6254,                 1.3667,                 1.7949,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.3279,                 1.2675,                 1.4545,                0.70879,                 0.5991,                0.63944,                0.32512,                 1.6724,                 1.3972,                 1.8667,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.3088,                 1.2558,                 1.4521,                0.71566,                0.57814,                0.64726,                0.34671,                 1.6231,                 1.3849,                 1.7872,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.3064,                  1.262,                 1.4492,                0.74163,                0.61835,                0.66502,                0.34578,                   1.62,                 1.3463,                 1.8037,               0.008911,               0.008911,               0.008911
                     58,                 1.3057,                 1.2532,                 1.4391,                0.71878,                0.60951,                0.65122,                0.34058,                  1.655,                 1.3353,                 1.8053,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.2935,                 1.2373,                 1.4296,                0.71517,                0.62036,                0.67093,                0.36189,                 1.6434,                 1.2769,                 1.8196,              0.0088714,              0.0088714,              0.0088714
